iter	Passed	Remaining
583	12940	9217
584	12942	9181
585	12944	9145
586	12946	9108
587	12956	9078
588	12958	9042
589	12960	9006
590	12962	8970
591	12964	8934
592	12966	8899
593	12968	8863
594	12970	8828
595	12971	8793
596	12984	8765
597	12995	8736
598	12999	8702
599	13065	8710
600	13067	8675
601	13068	8640
602	13070	8605
603	13092	8583
604	13095	8550
605	13097	8515
606	13099	8481
607	13101	8446
608	13102	8412
609	13111	8382
610	13113	8348
611	13115	8314
612	13116	8280
613	13118	8247
614	13127	8217
615	13128	8184
616	13130	8150
617	13132	8117
618	13134	8084
619	13142	8055
620	13144	8022
621	13146	7989
622	13148	7956
623	13157	7928
624	13159	7895
625	13161	7863
626	13165	7831
627	13175	7804
628	13177	7772
629	13181	7741
630	13190	7713
631	13192	7681
632	13194	7649
633	13196	7617
634	13197	7586
635	13206	7558
636	13208	7527
637	13210	7495
638	13212	7464
639	13219	7436
640	13221	7405
641	13224	7374
642	13226	7343
643	13228	7312
644	13236	7285
645	13238	7254
646	13240	7224
647	13242	7193
648	13244	7162
649	13252	7136
650	13305	7133
651	13307	7102
652	13309	7072
653	13310	7042
654	13320	7015
655	13321	6985
656	13323	6955
657	13325	6925
658	13333	6899
659	13335	6869
660	13337	6840
661	13338	6810
662	13340	6780
663	13342	6751
664	13351	6726
665	13353	6696
666	13355	6667
667	13356	6638
668	13365	6612
669	13368	6584
670	13369	6555
671	13372	6526
672	13374	6498
673	13375	6469
674	13384	6444
675	13386	6416
676	13388	6387
677	13390	6359
678	13391	6330
679	13400	6305
680	13402	6278
681	13405	6250
682	13407	6222
683	13415	6197
684	13418	6170
685	13420	6143
686	13433	6120
687	13435	6092
688	13437	6065
689	13438	6037
690	13447	6013
691	13449	5986
692	13451	5958
693	13453	5931
694	13455	5904
695	13465	5881
696	13467	5854
697	13469	5827
698	13477	5803
699	13479	5777
700	13481	5750
701	13483	5723
702	13484	5697
703	13486	5670
704	13495	5647
705	13497	5620
706	13499	5594
707	13501	5568
708	13510	5545
709	13512	5519
710	13514	5493
711	13516	5467
712	13518	5441
713	13529	5419
714	13533	5394
715	13542	5371
716	13544	5345
717	13546	5320
718	13548	5294
719	13549	5269
720	13559	5246
721	13560	5221
722	13562	5196
723	13564	5170
724	13566	5145
725	13612	5137
726	13614	5112
727	13625	5090
728	13627	5065
729	13630	5041
730	13639	5019
731	13641	4994
732	13643	4969
733	13644	4944
734	13646	4920
735	13655	4898
736	13656	4873
737	13658	4849
738	13661	4824
739	13662	4800
740	13671	4778
741	13673	4754
742	13674	4730
743	13676	4705
744	13678	4681
745	13687	4660
746	13690	4636
747	13691	4612
748	13693	4588
749	13695	4565
750	13702	4543
751	13705	4520
752	13708	4496
753	13710	4473
754	13718	4451
755	13721	4428
756	13724	4405
757	13739	4386
758	13741	4363
759	13742	4339
760	13751	4318
761	13752	4295
762	13754	4272
763	13756	4249
764	13757	4226
765	13759	4203
766	13768	4182
767	13769	4159
768	13771	4136
769	13772	4113
770	13775	4091
771	13782	4070
772	13784	4048
773	13786	4025
774	13788	4003
775	13789	3980
776	13798	3960
777	13800	3937
778	13802	3915
779	13804	3893
780	13805	3871
781	13821	3853
782	13825	3831
783	13827	3809
784	13836	3789
785	13838	3767
786	13840	3745
787	13842	3724
788	13843	3702
789	13852	3682
790	13854	3660
791	13855	3638
792	13857	3617
793	13859	3595
794	13868	3576
795	13872	3555
796	13875	3534
797	13885	3514
798	13886	3493
799	13889	3472
800	13890	3451
801	13892	3429
802	13894	3408
803	13896	3387
804	13897	3366
805	13899	3345
806	13901	3324
807	13909	3305
808	13910	3284
809	13912	3263
810	13914	3242
811	13915	3221
812	13924	3202
813	13926	3182
814	13927	3161
815	13929	3140
816	13931	3120
817	13932	3099
818	13941	3080
819	13942	3060
820	13944	3040
821	13946	3020
822	13948	2999
823	13958	2981
824	13960	2961
825	13961	2941
826	13963	2921
827	13970	2902
828	13974	2882
829	13976	2862
830	13987	2844
831	14023	2831
832	14026	2811
833	14035	2793
