iter	Passed	Remaining
849	3654	644
850	3657	640
851	3662	636
852	3665	631
853	3668	627
854	3676	623
855	3680	619
856	3685	614
857	3688	610
858	3693	606
859	3695	601
860	3699	597
861	3709	593
862	3726	591
863	3744	589
864	3763	587
865	3766	582
866	3770	578
867	3773	573
868	3776	569
869	3779	564
870	3782	560
871	3785	555
872	3789	551
873	3793	546
874	3796	542
875	3800	537
876	3804	533
877	3808	529
878	3811	524
879	3815	520
880	3818	515
881	3821	511
882	3823	506
883	3829	502
884	3832	497
885	3834	493
886	3840	489
887	3843	484
888	3847	480
889	3853	476
890	3858	472
891	3861	467
892	3867	463
893	3870	458
894	3875	454
895	3880	450
896	3883	445
897	3889	441
898	3893	437
899	3898	433
900	3905	429
901	3910	424
902	3918	420
903	3921	416
904	3925	412
905	3934	408
906	3944	404
907	3948	400
908	3952	395
909	3954	391
910	3959	386
911	3962	382
912	3967	378
913	3971	373
914	3976	369
915	3983	365
916	3986	360
917	3994	356
918	3997	352
919	4000	347
920	4008	343
921	4012	339
922	4014	334
923	4021	330
924	4024	326
925	4028	321
926	4031	317
927	4033	312
928	4041	308
929	4045	304
930	4062	301
931	4077	297
932	4142	297
933	4145	292
934	4149	288
935	4152	283
936	4154	279
937	4160	274
938	4162	270
939	4167	266
940	4172	261
941	4177	257
942	4179	252
943	4185	248
944	4188	243
945	4190	239
946	4198	234
947	4202	230
948	4206	226
949	4211	221
950	4213	217
951	4219	212
952	4225	208
953	4230	203
954	4236	199
955	4239	195
956	4243	190
957	4251	186
958	4253	181
959	4256	177
960	4260	172
961	4262	168
962	4268	163
963	4272	159
964	4274	155
965	4281	150
966	4286	146
967	4291	141
968	4294	137
969	4302	133
970	4305	128
971	4312	124
972	4315	119
973	4317	115
974	4324	110
975	4326	106
976	4330	101
977	4337	97
978	4339	93
979	4346	88
980	4348	84
981	4357	79
982	4359	75
983	4362	70
984	4365	66
985	4369	62
986	4371	57
987	4374	53
988	4380	48
989	4383	44
990	4394	39
991	4396	35
992	4398	31
993	4406	26
994	4409	22
995	4412	17
996	4420	13
997	4422	8
998	4430	4
999	4433	0
